src,dst,pull,push,sync
Virginia,Canada,19.221800000000005,22.738888888888887,41.96068888888888
Virginia,Frankfurt,94.50646666666667,94.10697777777774,188.61344444444444
Virginia,Ireland,69.15975555555556,68.91953333333333,138.0792888888889
Virginia,London,71.94895555555557,69.95048888888887,141.89944444444444
Virginia,Mumbai,191.40657777777776,186.63917777777775,378.0457555555557
Virginia,Ohio,19.96308888888889,19.514866666666663,39.47795555555555
Virginia,Oregon,69.37955555555556,67.95368888888889,137.33324444444443
Virginia,Paris,73.20033333333333,67.90644444444445,141.10677777777775
Virginia,Sao Paulo,123.28562222222223,123.67884444444447,246.9644666666667
Virginia,Seoul,191.39104444444447,177.8873333333333,369.27837777777773
Virginia,Singapore,214.01506666666657,214.40228888888882,428.41735555555545
Virginia,Sydney,194.23748888888883,185.4833111111111,379.7207999999999
Virginia,Tokyo,159.53891111111108,159.49200000000002,319.0309111111112
Virginia,Virginia,1.8245333333333333,0.8966,2.721133333333333
